"Releve","X_L93","Y_L93","Z_m","hauteur","sol_nu","SpRichness","group","Asttri","Elyath","Halpor","Junger","Junmar","Limvul","Phraus","Plamar","Pucmar","Salobs","Saleme","Sarper","Scimar","Spaang","Spaver","Trimar"
"E09",370516.8197,6416808.79,1.8840625,350,1,1,"A",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"X17",370858.2781,6415806.943,1.181320755,35,9,4,"F",4,0,0,0,0,0,0,0,0,5,0,4,0,4,0,0
"R25",369910.4856,6415964.558,2.17,90,2,5,"D",0,2,6,0,8,5,4,0,0,0,0,0,0,0,0,0
"K11",371114.5647,6416604.087,1.218333333,20,7.2,6,"D",0,0,3.2,0,1.4,0.6,0,1.2,0,0,0.8,0,0,0,0,0
"T06",370410.3786,6416010.419,1.215490196,25,6,4,"F",4,0,0,0,0,0,0,0,0,7,3,0,0,5,0,0
"J16",370814.8742,6416606.54,1.835833333,73,4.2,9,"D",0,2,2.2,0.6,7.6,2.4,1.4,1.4,0,0,0,0,0,0,0.6,0
"L35",370312.9359,6416310.933,1.628484848,25,4,6,"D",0,0,7.6,0,0,1.4,0,0,1.6,0,0.6,0,4,0,0,3.8
"L20",370163.9086,6416412.058,1.777894737,90,2,5,"D",0.8,0,7,0,7,0,3,0,0,0,1,0,0,0,0,0
"R26",369960.434,6415964.15,1.697608696,65,3,9,"D",2,3,7,0,6,2,3,1,0,2,0,0,0,0,0,2
"S14",370059.5127,6415863.433,2.301086957,65,1,3,"B",0,7,0,0,3,0,0,0,0,0,0,0,0,0,7,0
"C11",370768.607,6417056.493,1.966349206,120,5,5,"B",0,6,0,0,6,0,3,0,0,0,0,0,0,0,6,0
"I36",371609.5493,6416050.556,1.130263158,30,6,7,"E",3,0,0,0,0,0,0,0,0,3,4,5,0,2,0,6
"D04",370417.3319,6416859.557,1.866944444,48,4,6,"D",0,0.4,5,1.2,6.2,0.8,2.4,0,0,0,0,0,0,0,0,0
"Q33",369657.8806,6415616.958,1.214166667,20,8.8,1,"F",0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0
"I08",371412.6191,6416401.837,1.79852459,40,3,6,"D",0,0,5.6,0,4.6,5.4,0,0,0,0.2,0,0,0,0,0,0.8
"N13",370963.0833,6416405.517,1.955357143,55,4,4,"B",0,4,0,0,0,1,2,0,0,0,0,0,0,0,8,0
"S22",370009.1553,6415813.893,2.473777778,45,6,7,"B",0,3,0,0,1,0,0,0,0,0,0,0,0,0,8,0
"B10",370619.1707,6417107.669,2.609642857,150,7,4,"B",0,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0
"V10",371010.1685,6416055.463,1.606,35,2,9,"C",5,0,8,0,5,5,0,0,3,3,5,0,0,0,0,4
"H38",370413.2417,6416360.064,1.6,72,3,5,"D",0,0,8,0,7,0,0,0,0,3,0,0,6,0,0,2.8
"A05",370619.5797,6417157.618,2.147627119,120,2,2,"B",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
